Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1970/11/5,68,80,60,0,,
1970/11/6,69,82,53,0,,
1970/11/7,69,74,65,0.01,,
1970/11/8,68,76,64,0,,
1970/11/9,72,83,65,0,,
1970/11/10,73,83,66,0,,
1970/11/11,68,82,59,0,,
1970/11/12,69,80,62,0,,
1970/11/13,71,84,62,0,,
1970/11/14,73,86,63,0,,
1970/11/15,58,74,53,0,,
1970/11/16,55,64,49,0,,
1970/11/17,59,72,51,0,,
1970/11/18,65,77,56,0,,
1970/11/19,67,81,58,0,,
1970/11/20,70,82,59,0,,
1970/11/21,67,74,63,0.35,,
1970/11/22,65,69,63,0,,
1970/11/23,60,65,58,0,,
1970/11/24,63,72,57,0,,
1970/11/25,69,74,64,0,,
1970/11/26,71,81,63,0,,
1970/11/27,69,74,64,0,,
1970/11/28,65,74,60,0,,
1970/11/29,60,67,56,0,,
1970/11/30,57,63,52,0.02,,
1970/12/1,61,66,56,0,,
1970/12/2,65,74,60,0,,
1970/12/3,55,64,52,0.01,,
1970/12/4,56,63,51,0.16,,
1970/12/5,60,63,57,0.01,,
1970/12/6,65,72,60,0.03,,
1970/12/7,67,74,64,0,,
1970/12/8,61,66,59,0,,
1970/12/9,60,64,57,0,,
1970/12/10,62,70,56,0.08,,
1970/12/11,62,65,59,0.4,,
1970/12/12,67,71,63,0.03,,
1970/12/13,63,68,59,0,,
1970/12/14,53,63,46,0,,
1970/12/15,53,65,43,0,,
1970/12/16,55,72,44,0,,
1970/12/17,57,77,45,0,,
1970/12/18,59,75,48,0,,
1970/12/19,64,75,60,0,,
1970/12/20,64,77,56,0,,
1970/12/21,64,77,56,0,,
1970/12/22,69,80,62,0,,
1970/12/23,68,74,64,0,,
1970/12/24,62,71,54,0.15,,
1970/12/25,56,64,53,0,,
1970/12/26,55,63,51,0,,
1970/12/27,57,65,52,0,,
1970/12/28,56,65,52,0,,
1970/12/29,56,65,51,0,,
1970/12/30,53,65,44,0,,
1970/12/31,54,65,46,0,,
1971/1/1,55,63,48,0,,
1971/1/2,54,64,47,0,,
1971/1/3,53,64,43,0,,
1971/1/4,55,65,47,0,,
1971/1/5,51,63,41,0,,
1971/1/6,46,65,33,0,,
1971/1/7,50,69,35,0,,
1971/1/8,56,68,47,0,,
1971/1/9,53,67,40,0,,
1971/1/10,47,68,35,0,,
1971/1/11,49,68,37,0,,
1971/1/12,51,70,39,0,,
1971/1/13,53,72,40,0,,
1971/1/14,54,72,42,0,,
1971/1/15,59,70,48,0,,
1971/1/16,62,76,53,0,,
1971/1/17,60,73,49,0,,
1971/1/18,59,72,51,0,,
1971/1/19,62,76,51,0,,
1971/1/20,56,66,49,0,,
1971/1/21,54,60,48,0.02,,
1971/1/22,54,63,48,0,,
1971/1/23,52,57,49,0.02,,
1971/1/24,48,53,45,0.56,,
1971/1/25,48,57,43,0.11,,
1971/1/26,50,60,43,0,,
1971/1/27,52,57,47,0.01,,
1971/1/28,44,53,42,0.09,,
1971/1/29,43,46,40,0.21,,
1971/1/30,40,44,36,0.2,,
1971/1/31,45,51,40,0.02,,
1971/2/1,47,52,44,0,,
1971/2/2,52,61,40,0,,
1971/2/3,54,64,41,0,,
1971/2/4,53,58,51,0,,
1971/2/5,52,56,49,0,,
1971/2/6,47,54,42,0.02,,
1971/2/7,50,58,42,0,,
1971/2/8,51,60,45,0.03,,
1971/2/9,58,71,53,0,,
1971/2/10,56,67,48,0,,
1971/2/11,63,73,53,0,,
1971/2/12,63,71,58,0.06,,
1971/2/13,62,70,56,0,,
1971/2/14,58,64,51,0,,
1971/2/15,55,65,47,0,,
1971/2/16,57,65,51,0,,
1971/2/17,61,77,49,0,,
1971/2/18,60,72,51,0,,
1971/2/19,63,75,52,0,,
1971/2/20,67,77,58,0.01,,
1971/2/21,69,78,64,0,,
1971/2/22,71,80,67,0,,
1971/2/23,71,80,67,0,,
1971/2/24,63,71,61,0,,
1971/2/25,63,67,60,0.19,,
1971/2/26,62,65,60,0.08,,
1971/2/27,66,69,62,0.07,,
1971/2/28,67,72,64,0,,
1971/3/1,65,69,63,0,,
1971/3/2,69,73,66,0.04,,
1971/3/3,60,71,58,0,,
1971/3/4,58,63,54,0.04,,
1971/3/5,58,62,56,0.03,,
1971/3/6,56,60,54,0.02,,
1971/3/7,56,58,54,0,,
1971/3/8,54,57,52,0,,
1971/3/9,57,69,49,0,,
1971/3/10,61,69,55,0,,
1971/3/11,64,73,59,0,,
1971/3/12,60,69,55,0,,
1971/3/13,59,70,54,0,,
1971/3/14,58,69,51,0,,
1971/3/15,61,72,52,0,,
1971/3/16,64,78,52,0,,
1971/3/17,66,77,56,0,,
1971/3/18,68,79,62,0,,
1971/3/19,69,78,62,0,,
1971/3/20,66,76,60,0,,
1971/3/21,69,79,59,0,,
1971/3/22,62,76,55,0,,
1971/3/23,60,73,52,0,,
1971/3/24,63,74,51,0,,
1971/3/25,66,78,53,0,,
1971/3/26,69,79,60,0,,
1971/3/27,71,82,61,0,,
1971/3/28,72,79,67,0,,
1971/3/29,72,77,67,0,,
1971/3/30,73,81,66,0,,
1971/3/31,75,82,71,0,,
1971/4/1,75,84,69,0.29,,
1971/4/2,69,77,65,3.85,,
1971/4/3,69,74,66,0.75,,
1971/4/4,69,74,63,0.26,,
1971/4/5,71,76,66,0,,
1971/4/6,73,78,69,0,,
1971/4/7,74,81,67,0,,
1971/4/8,75,81,70,0,,
1971/4/9,66,78,62,0.03,,
1971/4/10,69,74,64,0,,
1971/4/11,69,75,64,0,,
1971/4/12,71,78,63,0,,
1971/4/13,71,81,63,0,,
1971/4/14,75,85,65,0,,
1971/4/15,74,79,71,0,,
1971/4/16,72,78,67,0,,
1971/4/17,73,82,65,0,,
1971/4/18,71,76,67,0,,
1971/4/19,70,75,67,0,,
1971/4/20,73,79,67,0,,
1971/4/21,73,83,68,0.06,,
1971/4/22,72,81,65,0,,
1971/4/23,75,80,72,0,,
1971/4/24,76,83,72,0,,
1971/4/25,79,85,74,0,,
1971/4/26,76,84,72,0.19,,
1971/4/27,74,77,71,0.04,,
1971/4/28,77,85,72,0,,
1971/4/29,78,87,73,0.04,,
1971/4/30,77,84,73,0.07,,
1971/5/1,79,86,73,0.24,,
1971/5/2,79,87,73,0,,
1971/5/3,78,86,71,0,,
1971/5/4,79,87,71,1.29,,
1971/5/5,68,73,63,1.07,,
1971/5/6,69,79,62,0,,
1971/5/7,70,79,63,0,,
1971/5/8,73,81,65,0,,
1971/5/9,73,79,68,0,,
1971/5/10,73,78,69,0.26,,
1971/5/11,75,81,71,0.06,,
1971/5/12,75,80,71,0.86,,
1971/5/13,77,83,72,0.03,,
1971/5/14,78,85,73,0,,
1971/5/15,77,83,73,0,,
1971/5/16,77,82,72,0.17,,
1971/5/17,80,87,75,0,,
1971/5/18,81,86,77,0,,
1971/5/19,75,80,72,2.65,,
1971/5/20,75,80,70,0.04,,
1971/5/21,76,81,72,0.07,,
1971/5/22,77,82,74,0.13,,
1971/5/23,79,85,74,0.03,,
1971/5/24,78,85,73,0,,
1971/5/25,78,87,70,0.01,,
1971/5/26,80,85,75,0.27,,
1971/5/27,81,89,74,0,,
1971/5/28,82,90,74,0,,
1971/5/29,81,87,71,0.05,,
1971/5/30,82,87,76,0.02,,
1971/5/31,79,88,74,0.31,,
1971/6/1,80,83,74,1.28,,
1971/6/2,81,88,76,0.16,,
1971/6/3,82,89,75,0,,
1971/6/4,82,90,78,0.12,,
1971/6/5,82,91,76,0.02,,
1971/6/6,79,83,75,0.72,,
1971/6/7,78,84,74,0.29,,
1971/6/8,80,87,76,1.96,,
1971/6/9,80,86,77,0.56,,
1971/6/10,81,88,76,0.14,,
1971/6/11,79,84,76,0.63,,
1971/6/12,81,88,76,0.63,,
1971/6/13,83,91,76,0,,
1971/6/14,84,91,76,0,,
1971/6/15,83,92,75,0,,
1971/6/16,85,94,75,0,,
1971/6/17,83,94,76,0.13,,
1971/6/18,78,83,72,4.94,,
1971/6/19,80,87,73,0.56,,
1971/6/20,82,89,76,0,,
1971/6/21,80,87,76,1.89,,
1971/6/22,82,89,76,0.35,,
1971/6/23,79,89,76,0.07,,
1971/6/24,78,86,74,0.46,,
1971/6/25,80,87,75,0.92,,
1971/6/26,83,91,75,0,,
1971/6/27,82,90,78,0.31,,
1971/6/28,79,87,73,0.99,,
1971/6/29,81,88,76,0,,
1971/6/30,82,90,76,0,,
1971/7/1,80,89,77,0,,
1971/7/2,81,90,73,0.46,,
1971/7/3,84,90,75,0.03,,
1971/7/4,84,92,75,0,,
1971/7/5,84,93,78,0.03,,
1971/7/6,81,87,77,0.13,,
1971/7/7,81,88,76,0.08,,
1971/7/8,81,88,76,0.05,,
1971/7/9,83,90,76,0,,
1971/7/10,84,92,76,0,,
1971/7/11,84,94,77,0.02,,
1971/7/12,81,91,78,0.26,,
1971/7/13,82,90,75,0.26,,
1971/7/14,83,90,76,0,,
1971/7/15,84,93,75,0,,
1971/7/16,84,93,77,0,,
1971/7/17,81,88,76,0.23,,
1971/7/18,81,89,76,0,,
1971/7/19,83,92,76,0,,
1971/7/20,87,96,78,0,,
1971/7/21,88,99,82,0,,
1971/7/22,80,87,73,1.09,,
1971/7/23,82,88,74,0.49,,
1971/7/24,83,90,76,0,,
1971/7/25,85,95,76,0,,
1971/7/26,88,96,81,0,,
1971/7/27,81,91,72,0.86,,
1971/7/28,83,89,78,0,,
1971/7/29,83,90,78,0.58,,
1971/7/30,84,93,78,0,,
1971/7/31,86,93,77,0,,
1971/8/1,85,93,77,0,,
1971/8/2,85,93,80,0,,
1971/8/3,83,94,76,0,,
1971/8/4,83,90,78,0.12,,
1971/8/5,81,89,77,0.08,,
1971/8/6,79,83,74,0.96,,
1971/8/7,80,83,78,0.07,,
1971/8/8,79,88,76,0.5,,
1971/8/9,81,89,77,0,,
1971/8/10,83,91,76,0,,
1971/8/11,84,91,78,0,,
1971/8/12,77,86,74,4.67,,
1971/8/13,79,84,76,0.18,,
1971/8/14,81,89,75,0.01,,
1971/8/15,83,91,76,0,,
1971/8/16,79,90,75,0.04,,
1971/8/17,76,81,71,3.9,,
1971/8/18,77,89,71,1.26,,
1971/8/19,80,90,74,0,,
1971/8/20,82,92,74,0.01,,
1971/8/21,82,90,75,0,,
1971/8/22,83,91,75,0,,
1971/8/23,83,91,76,0,,
1971/8/24,84,91,78,0,,
1971/8/25,82,90,77,0,,
1971/8/26,81,89,76,0,,
1971/8/27,82,90,75,0,,
1971/8/28,84,91,76,0,,
1971/8/29,83,92,75,0,,
1971/8/30,83,92,76,0,,
1971/8/31,84,92,76,0,,
1971/9/1,83,90,78,0,,
1971/9/2,83,91,78,0,,
1971/9/3,84,91,77,0,,
1971/9/4,84,93,78,0,,
1971/9/5,85,94,78,0,,
1971/9/6,80,89,72,0.52,,
1971/9/7,79,91,77,0.76,,
1971/9/8,82,90,76,0,,
1971/9/9,82,91,77,0.09,,
1971/9/10,83,92,76,0.01,,
1971/9/11,82,87,78,0.62,,
1971/9/12,80,83,75,1.11,,
1971/9/13,80,87,75,0,,
1971/9/14,80,87,78,0.12,,
1971/9/15,80,87,76,0.13,,
1971/9/16,82,90,76,0.01,,
1971/9/17,81,88,73,0,,
1971/9/18,80,88,73,0,,
1971/9/19,80,87,74,0,,
1971/9/20,73,80,71,0,,
1971/9/21,72,78,68,0,,
1971/9/22,76,86,70,0,,
1971/9/23,80,90,71,0,,
1971/9/24,80,90,75,0,,
1971/9/25,83,91,77,0,,
1971/9/26,82,91,75,0,,
1971/9/27,80,89,74,0,,
1971/9/28,82,91,75,0,,
1971/9/29,79,87,76,0.07,,
1971/9/30,80,87,76,0.22,,
1971/10/1,81,88,76,0.67,,
1971/10/2,80,91,72,0,,
1971/10/3,81,90,75,0,,
1971/10/4,82,90,76,0,,
1971/10/5,76,83,71,0,,
1971/10/6,75,82,70,0,,
1971/10/7,75,83,70,0.01,,
1971/10/8,71,76,67,0.03,,
1971/10/9,71,78,66,0.02,,
1971/10/10,77,86,70,0,,
1971/10/11,74,83,67,0,,
1971/10/12,69,80,63,0,,
1971/10/13,69,80,57,0,,
1971/10/14,71,81,59,0,,
1971/10/15,68,83,56,0,,
1971/10/16,73,84,61,0,,
1971/10/17,74,85,62,0,,
1971/10/18,72,85,63,0,,
1971/10/19,72,82,63,0,,
1971/10/20,72,84,64,0,,
1971/10/21,74,86,65,0,,
1971/10/22,76,89,66,0,,
1971/10/23,74,79,70,0,,
1971/10/24,75,81,72,0,,
1971/10/25,71,78,66,0,,
1971/10/26,68,76,64,0,,
1971/10/27,69,78,63,0,,
1971/10/28,69,76,66,0.06,,
1971/10/29,62,66,58,1.26,,
1971/10/30,66,76,57,0,,
1971/10/31,65,77,53,0,,
1971/11/1,66,79,55,0,,
1971/11/2,70,80,62,0,,
1971/11/3,72,81,65,0,,
1971/11/4,72,83,64,0,,
1971/11/5,73,81,66,0,,
1971/11/6,72,81,66,0,,
1971/11/7,71,77,69,0.02,,
1971/11/8,72,82,66,0,,
1971/11/9,71,82,63,0,,
1971/11/10,66,74,60,0,,
1971/11/11,65,75,57,0,,
1971/11/12,67,77,59,0,,
1971/11/13,67,75,61,0,,
1971/11/14,63,71,58,0,,
1971/11/15,60,69,50,0,,
1971/11/16,59,69,51,0,,
1971/11/17,59,71,48,0,,
1971/11/18,58,72,44,0,,
1971/11/19,57,73,44,0,,
1971/11/20,63,76,48,0,,
1971/11/21,67,76,56,0,,
1971/11/22,67,77,61,0,,
1971/11/23,66,74,60,0,,
1971/11/24,64,75,57,0,,
1971/11/25,67,78,59,0,,
1971/11/26,65,81,53,0,,
1971/11/27,65,81,53,0,,
1971/11/28,68,86,55,0,,
1971/11/29,65,77,56,0,,
1971/11/30,53,62,46,0,,
1971/12/1,55,68,45,0,,
1971/12/2,63,74,50,0,,
1971/12/3,64,71,60,0,,
1971/12/4,62,76,51,0,,
1971/12/5,67,79,58,0,,
1971/12/6,68,81,59,0,,
1971/12/7,58,70,53,0.04,,
1971/12/8,55,65,48,0,,
1971/12/9,55,65,50,0,,
1971/12/10,56,71,45,0,,
1971/12/11,63,77,47,0,,
1971/12/12,63,75,53,0,,
1971/12/13,59,75,50,0,,
1971/12/14,63,76,50,0,,
1971/12/15,63,69,55,0,,
1971/12/16,56,67,50,0,,
1971/12/17,56,66,44,0,,
1971/12/18,57,60,54,1.74,,
1971/12/19,59,63,56,0.98,,
1971/12/20,60,61,58,0.15,,
1971/12/21,56,59,55,0.69,,
1971/12/22,55,58,54,0.45,,
1971/12/23,59,65,54,0,,
1971/12/24,61,66,57,0.05,,
1971/12/25,64,68,62,0.06,,
1971/12/26,51,66,48,1.53,,
1971/12/27,48,56,43,0,,
1971/12/28,50,59,44,0,,
1971/12/29,53,63,43,0,,
1971/12/30,56,68,44,0,,
1971/12/31,59,69,46,0,,
1972/1/1,57,65,50,0,,
1972/1/2,56,66,49,0,,
1972/1/3,57,63,53,0.04,,
1972/1/4,56,59,54,1.02,,
1972/1/5,56,58,54,0.08,,
1972/1/6,53,56,50,0,,
1972/1/7,53,60,48,0,,
1972/1/8,54,63,48,0,,
1972/1/9,53,62,46,0,,
1972/1/10,51,60,44,0,,
1972/1/11,48,56,41,0,,
1972/1/12,48,56,41,0,,
1972/1/13,49,58,38,0,,
1972/1/14,50,61,42,0,,
1972/1/15,51,61,45,0,,
1972/1/16,53,64,47,0,,
1972/1/17,56,67,51,0,,
1972/1/18,61,69,55,0,,
1972/1/19,64,74,56,0,,
1972/1/20,65,77,59,0,,
1972/1/21,63,78,53,0,,
1972/1/22,62,74,52,0,,
1972/1/23,63,68,62,0.13,,
1972/1/24,67,76,61,0,,
1972/1/25,65,74,60,0.01,,
1972/1/26,58,66,53,0,,
1972/1/27,54,64,47,0,,
1972/1/28,58,64,54,0,,
1972/1/29,61,68,58,0,,
1972/1/30,65,76,58,0,,
1972/1/31,66,73,62,0,,
1972/2/1,68,73,64,0.03,,
1972/2/2,69,73,64,0,,
1972/2/3,68,72,66,0,,
1972/2/4,56,70,48,0.03,,
1972/2/5,47,51,46,0.01,,
1972/2/6,45,48,43,0,,
1972/2/7,43,46,41,0.05,,
1972/2/8,41,43,39,0.18,,
1972/2/9,41,51,35,0,,
1972/2/10,43,53,37,0,,
1972/2/11,48,61,35,0,,
1972/2/12,56,60,54,0,,
1972/2/13,56,65,48,0.21,,
1972/2/14,57,61,55,0.09,,
1972/2/15,62,68,55,0.01,,
1972/2/16,67,75,60,0,,
1972/2/17,68,76,63,0,,
1972/2/18,68,77,64,0,,
1972/2/19,67,76,61,0,,
1972/2/20,58,69,56,0,,
1972/2/21,59,67,53,0,,
1972/2/22,60,67,57,0,,
1972/2/23,55,59,51,0.61,,
1972/2/24,59,63,56,0.04,,
1972/2/25,61,65,59,0.68,,
1972/2/26,52,63,50,0.11,,
1972/2/27,48,51,44,0.06,,
1972/2/28,48,54,44,0,,
1972/2/29,53,61,48,0,,
1972/3/1,54,65,43,0,,
1972/3/2,54,66,44,0,,
1972/3/3,56,68,43,0,,
1972/3/4,55,69,40,0,,
1972/3/5,55,70,44,0,,
1972/3/6,59,74,45,0,,
1972/3/7,64,75,52,0,,
1972/3/8,66,77,58,0,,
1972/3/9,69,78,63,0,,
1972/3/10,68,76,64,0,,
1972/3/11,63,69,59,0.04,,
1972/3/12,58,67,52,0,,
1972/3/13,62,73,50,0,,
1972/3/14,67,78,60,0,,
1972/3/15,67,79,57,0,,
1972/3/16,69,77,63,0.01,,
1972/3/17,71,81,64,0,,
1972/3/18,72,82,65,0,,
1972/3/19,72,81,67,0,,
1972/3/20,74,85,67,0,,
1972/3/21,71,81,64,0,,
1972/3/22,69,75,64,0,,
1972/3/23,71,76,67,0,,
1972/3/24,72,79,70,0.1,,
1972/3/25,65,71,60,0.42,,
1972/3/26,65,74,55,0,,
1972/3/27,67,77,57,0,,
1972/3/28,67,76,59,0,,
1972/3/29,72,78,67,0,,
1972/3/30,74,81,68,0,,
1972/3/31,69,75,64,0,,
1972/4/1,57,65,51,0.43,,
1972/4/2,57,60,54,0.01,,
1972/4/3,60,65,56,0,,
1972/4/4,67,75,61,0.01,,
1972/4/5,70,73,68,1.56,,
1972/4/6,70,74,67,0.6,,
1972/4/7,71,79,65,0.75,,
1972/4/8,58,67,54,0,,
1972/4/9,59,68,52,0,,
1972/4/10,61,65,58,0,,
1972/4/11,63,68,58,0,,
1972/4/12,65,69,62,0.03,,
1972/4/13,68,72,63,0.14,,
1972/4/14,72,78,67,0,,
1972/4/15,74,81,69,0,,
1972/4/16,78,85,73,0,,
1972/4/17,77,81,74,0.02,,
1972/4/18,77,82,74,0,,
1972/4/19,79,86,73,0,,
1972/4/20,79,85,74,0,,
1972/4/21,78,84,72,1.51,,
1972/4/22,71,75,67,0.36,,
1972/4/23,72,76,67,0,,
1972/4/24,67,74,64,0.27,,
1972/4/25,65,68,64,0.12,,
1972/4/26,64,69,62,0.51,,
1972/4/27,70,80,63,0.01,,
1972/4/28,72,79,66,0,,
1972/4/29,74,80,71,0.42,,
1972/4/30,75,85,68,0.01,,
1972/5/1,78,87,69,0.01,,
1972/5/2,76,82,69,1.71,,
1972/5/3,74,80,69,1.55,,
1972/5/4,78,85,71,0,,
1972/5/5,80,85,76,0.04,,
1972/5/6,81,87,77,0.01,,
1972/5/7,71,80,68,2.75,,
1972/5/8,72,73,70,1.17,,
1972/5/9,75,84,70,0.02,,
1972/5/10,74,77,71,1.83,,
1972/5/11,73,77,70,1.63,,
1972/5/12,76,86,69,0,,
1972/5/13,79,88,72,0,,
1972/5/14,78,86,73,0.19,,
1972/5/15,80,87,73,0,,
1972/5/16,78,83,74,0,,
1972/5/17,75,78,71,0,,
1972/5/18,76,83,71,0.08,,
1972/5/19,79,85,74,1.04,,
1972/5/20,76,79,74,3.91,,
1972/5/21,77,79,73,0.14,,
1972/5/22,77,82,73,0.02,,
1972/5/23,76,83,72,2.05,,
1972/5/24,75,78,73,0.13,,
1972/5/25,78,86,74,0,,
1972/5/26,80,89,73,0,,
1972/5/27,80,86,75,0,,
1972/5/28,80,85,74,0,,
1972/5/29,80,88,75,0,,
1972/5/30,82,91,76,0,,
1972/5/31,79,84,76,0.02,,
1972/6/1,79,86,72,0,,
1972/6/2,81,90,74,0,,
1972/6/3,83,90,76,0,,
1972/6/4,78,82,76,0.29,,
1972/6/5,78,85,74,1.41,,
1972/6/6,79,88,71,0,,
1972/6/7,81,92,72,0,,
1972/6/8,82,90,75,0,,
1972/6/9,82,90,77,0,,
1972/6/10,82,90,76,0.02,,
1972/6/11,84,91,77,0,,
1972/6/12,85,94,78,0.01,,
1972/6/13,79,87,77,0.04,,
1972/6/14,83,91,77,0.58,,
1972/6/15,79,84,76,0.43,,
1972/6/16,79,85,75,1,,
1972/6/17,78,83,75,4.39,,
1972/6/18,77,80,76,2.05,,
1972/6/19,79,87,74,1.41,,
1972/6/20,82,88,78,0,,
1972/6/21,83,90,77,0,,
1972/6/22,84,91,77,0,,
1972/6/23,84,92,79,0,,
1972/6/24,83,91,77,0,,
1972/6/25,83,91,77,0,,
1972/6/26,83,93,76,0.31,,
1972/6/27,82,87,77,0.07,,
1972/6/28,79,85,76,0.69,,
1972/6/29,83,90,77,0,,
1972/6/30,84,91,77,0,,
1972/7/1,85,92,78,0,,
1972/7/2,84,91,78,0,,
1972/7/3,84,91,77,0.16,,
1972/7/4,83,91,77,0.08,,
1972/7/5,84,91,79,0.01,,
1972/7/6,85,92,79,0.01,,
1972/7/7,86,93,79,0,,
1972/7/8,86,94,78,0,,
1972/7/9,86,95,79,0.07,,
1972/7/10,87,96,80,0,,
1972/7/11,89,98,82,0,,
1972/7/12,87,96,81,0.15,,
1972/7/13,85,93,81,0,,
1972/7/14,86,94,81,0,,
1972/7/15,86,93,77,0,,
1972/7/16,83,91,74,1.46,,
1972/7/17,85,92,79,0.03,,
1972/7/18,85,92,79,0,,
1972/7/19,85,92,79,0,,
1972/7/20,84,92,76,1.1,,
1972/7/21,86,93,80,0,,
1972/7/22,87,98,81,0,,
1972/7/23,86,94,78,0,,
1972/7/24,84,93,78,1.25,,
1972/7/25,82,88,78,0.02,,
1972/7/26,79,85,72,0.21,,
1972/7/27,76,78,73,0.14,,
1972/7/28,79,88,72,0,,
1972/7/29,82,89,77,0,,
1972/7/30,80,88,77,0.22,,
1972/7/31,80,84,77,0.39,,
1972/8/1,82,88,76,0,,
1972/8/2,84,93,75,0,,
1972/8/3,86,94,79,0,,
1972/8/4,85,92,79,0,,
1972/8/5,84,92,79,0,,
1972/8/6,79,90,74,4.14,,
1972/8/7,81,89,74,1.65,,
1972/8/8,81,85,77,0.07,,
1972/8/9,80,90,77,0.34,,
1972/8/10,81,89,77,0.06,,
1972/8/11,81,88,76,0,,
1972/8/12,78,88,75,0.2,,
1972/8/13,77,81,73,0.98,,
1972/8/14,80,88,74,0.22,,
1972/8/15,81,89,74,0,,
1972/8/16,83,92,76,0.35,,
1972/8/17,86,96,79,0,,
1972/8/18,87,95,80,0,,
1972/8/19,78,87,74,2.33,,
1972/8/20,79,82,76,0.24,,
1972/8/21,79,84,74,0.83,,
1972/8/22,79,87,74,0.35,,
1972/8/23,81,89,74,0,,
1972/8/24,83,92,75,0,,
1972/8/25,84,92,77,0,,
1972/8/26,83,92,76,0,,
1972/8/27,82,91,76,0,,
1972/8/28,80,87,75,0.5,,
1972/8/29,81,88,77,0.07,,
1972/8/30,81,89,76,0.07,,
1972/8/31,82,90,75,0,,
1972/9/1,81,89,76,0.07,,
1972/9/2,81,90,75,0.63,,
1972/9/3,81,88,76,0,,
1972/9/4,82,90,76,0,,
1972/9/5,82,90,75,0,,
1972/9/6,81,90,76,0.01,,
1972/9/7,81,90,76,0.37,,
1972/9/8,81,90,75,0.75,,
1972/9/9,80,89,74,0.05,,
1972/9/10,81,90,75,0,,
1972/9/11,82,90,75,0,,
1972/9/12,83,91,76,0,,
1972/9/13,82,91,75,0,,
1972/9/14,83,91,75,0,,
1972/9/15,80,90,77,0.04,,
1972/9/16,82,90,76,0,,
1972/9/17,82,90,76,0,,
1972/9/18,81,87,76,0.17,,
1972/9/19,79,87,73,2.19,,
1972/9/20,78,85,73,0.41,,
1972/9/21,81,87,76,0,,
1972/9/22,81,88,76,0,,
1972/9/23,80,87,76,1.13,,
1972/9/24,74,79,72,0,,
1972/9/25,73,80,68,0,,
1972/9/26,77,85,71,0,,
1972/9/27,78,87,70,0,,
1972/9/28,78,86,76,0.01,,
1972/9/29,78,85,72,0,,
1972/9/30,79,86,75,0,,
1972/10/1,81,89,73,0,,
1972/10/2,80,88,75,0.01,,
1972/10/3,73,78,66,1.55,,
1972/10/4,71,83,59,0,,
1972/10/5,71,85,58,0.01,,
1972/10/6,71,83,62,0.01,,
1972/10/7,74,84,65,0.01,,
1972/10/8,74,83,65,0.01,,
1972/10/9,77,86,69,0,,
1972/10/10,76,82,73,0,,
1972/10/11,69,74,67,0.99,,
1972/10/12,74,81,69,0,,
1972/10/13,76,83,70,0,,
1972/10/14,78,85,72,0,,
1972/10/15,78,87,72,0,,
1972/10/16,79,85,75,0,,
1972/10/17,77,82,74,0.1,,
1972/10/18,79,88,74,0.75,,
1972/10/19,79,87,73,0,,
1972/10/20,79,88,72,0,,
1972/10/21,77,88,71,0,,
1972/10/22,65,72,61,0,,
1972/10/23,69,79,63,0,,
1972/10/24,73,84,65,0,,
1972/10/25,76,83,71,0.26,,
1972/10/26,76,82,72,0,,
1972/10/27,74,81,67,0,,
1972/10/28,74,83,70,0,,
1972/10/29,74,85,66,0,,
1972/10/30,75,85,68,0,,
1972/10/31,77,84,71,0,,
1972/11/1,75,83,69,0.02,,
1972/11/2,75,79,72,0.02,,
1972/11/3,76,88,67,0,,
1972/11/4,78,88,69,0,,
1972/11/5,78,87,72,0,,
1972/11/6,75,81,71,0,,
1972/11/7,70,74,66,0.04,,
1972/11/8,70,72,67,0.32,,
1972/11/9,74,79,69,1.06,,
1972/11/10,70,77,62,0,,
1972/11/11,69,77,65,0,,
1972/11/12,67,71,65,0.07,,
1972/11/13,71,78,65,0.22,,
1972/11/14,74,82,67,0.02,,
1972/11/15,76,84,72,1.36,,
1972/11/16,69,76,64,0.04,,
1972/11/17,64,68,60,0,,
1972/11/18,65,70,61,0.01,,
1972/11/19,66,69,62,0.04,,
1972/11/20,68,74,65,0,,
1972/11/21,61,69,56,0.14,,
1972/11/22,55,58,52,0.63,,
1972/11/23,60,66,56,0.82,,
1972/11/24,59,67,54,0,,
1972/11/25,60,70,50,0,,
1972/11/26,64,70,58,0,,
1972/11/27,62,71,56,0,,
1972/11/28,61,69,55,0,,
1972/11/29,62,72,53,0,,
1972/11/30,64,70,60,0,,
1972/12/1,58,69,49,0,,
1972/12/2,55,71,44,0,,
1972/12/3,60,73,49,0,,
1972/12/4,61,76,52,0,,
1972/12/5,59,76,47,0.01,,
1972/12/6,58,77,46,0.01,,
1972/12/7,64,76,50,0,,
1972/12/8,59,68,54,0,,
1972/12/9,61,73,50,0,,
1972/12/10,68,76,62,0,,
1972/12/11,70,74,66,0.02,,
1972/12/12,55,71,52,0.1,,
1972/12/13,51,56,48,0,,
1972/12/14,51,58,43,0,,
1972/12/15,53,62,47,0,,
1972/12/16,57,72,46,0,,
1972/12/17,65,79,54,0,,
1972/12/18,64,72,57,0,,
1972/12/19,57,64,53,0.13,,
1972/12/20,57,63,52,0.05,,
1972/12/21,57,59,56,1.05,,
1972/12/22,55,60,51,0.19,,
1972/12/23,55,61,51,0.04,,
1972/12/24,56,65,48,0,,
1972/12/25,60,65,56,0,,
1972/12/26,64,70,60,0,,
1972/12/27,65,70,60,0,,
1972/12/28,60,67,55,0.4,,
